,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo
296915,845011,2010,CA,2025,01,2611237,2611237,0,0,0,0,0,0
296916,845011,2010,CO,2025,01,333416,333416,0,0,0,0,0,0
296917,845011,2010,FL,2025,01,1368227,1368227,0,0,50281,11227,50281,11227
296918,845011,2010,GA,2025,01,617518,617518,0,0,0,0,0,0
296919,845011,2010,IN,2025,01,983925,983925,0,0,0,0,0,0
296920,845011,2010,KY,2025,01,1396544,1396544,0,0,0,0,0,0
296921,845011,2010,MD,2025,01,2704678,2704678,0,0,146506,33517,146506,33517
296922,845011,2010,PR,2025,01,52790,52790,0,0,52790,10502,52790,10502
296923,845011,2010,TX,2025,01,4176821,4176821,0,0,0,0,0,0
296924,845011,2010,WA,2025,01,558310,558310,0,0,0,0,0,0
296995,845020,2010,CA,2025,01,269590,269590,0,0,0,0,0,0
296996,845020,2010,CO,2025,01,28033,28033,0,0,0,0,0,0
296997,845020,2010,FL,2025,01,152119,130895,0,0,128610,31522,128610,31522
296998,845020,2010,GA,2025,01,116134,116134,0,0,31030,7530,31030,7530
296999,845020,2010,IL,2025,01,142220,142220,0,0,0,0,0,0
297000,845020,2010,IN,2025,01,31905,31905,0,0,0,0,0,0
297001,845020,2010,MD,2025,01,31957,31957,0,0,0,0,0,0
297002,845020,2010,MI,2025,01,34730,34730,0,0,0,0,0,0
297003,845020,2010,NJ,2025,01,24033,24033,0,0,20045,4840,20045,4840
297004,845020,2010,OH,2025,01,16849,16849,0,0,0,0,0,0
297005,845020,2010,PA,2025,01,188256,188256,0,0,136146,32910,136146,32910
297006,845020,2010,TX,2025,01,13764759,13764759,0,0,0,0,0,0
297007,845020,2010,WA,2025,01,72518,72518,0,0,9924,2420,9924,2420
